data;fazenda;almoco;janta;cafe;lanche;vlrAlmoco;vlrJanta;vlrCafe;vlrLanche;total
01/08/2025;Silo;2;0;0;0;22;22;8,5;8,5;44
02/08/2025;Silo;1;0;0;0;22;22;8,5;8,5;22
03/08/2025;Silo;1;0;0;0;22;22;8,5;8,5;22
06/08/2025;Silo;2;0;0;0;22;22;8,5;8,5;44
07/08/2025;Silo;3;0;0;0;22;22;8,5;8,5;66
12/08/2025;Silo;2;0;0;0;22;22;8,5;8,5;44
14/08/2025;Silo;2;0;0;0;22;22;8,5;8,5;44
26/08/2025;Silo;2;0;0;0;22;22;8,5;8,5;44
04/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
05/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
08/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
09/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
10/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
11/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
13/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
15/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
16/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
17/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
18/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
19/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
20/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
21/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
22/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
23/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
24/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
25/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
27/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
28/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
29/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
30/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
31/08/2025;Silo;0;0;0;0;22;22;8,5;8,5;0
01/09/2025;Silo;3;3;0;0;22;22;8,5;8,5;132
02/09/2025;Silo;6;3;0;0;22;22;8,5;8,5;198
03/09/2025;Silo;4;3;0;0;22;22;8,5;8,5;154
04/09/2025;Silo;5;3;0;0;22;22;8,5;8,5;176
05/09/2025;Silo;5;4;0;0;22;22;8,5;8,5;198
06/09/2025;Silo;4;4;0;0;22;22;8,5;8,5;176
07/09/2025;Silo;4;4;0;0;22;22;8,5;8,5;176
08/09/2025;Silo;7;6;0;0;22;22;8,5;8,5;286
09/09/2025;Silo;4;3;0;0;22;22;8,5;8,5;154
10/09/2025;Silo;4;3;0;0;22;22;8,5;8,5;154
11/09/2025;Silo;3;3;0;0;22;22;8,5;8,5;132
12/09/2025;Silo;6;4;0;0;22;22;8,5;8,5;220
13/09/2025;Silo;8;6;0;0;22;22;8,5;8,5;308
14/09/2025;Silo;5;5;0;0;22;22;8,5;8,5;220
